atlantis_pred_group,predator_stage,atlantis_prey_group,taxa_prey,prey,data,value,proportion,index,location,year,author,publication_yr,variable,predator_size,size_units,sample_source,file_name,full_file_name,predator_name,predator_taxa,latitude,longitude
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_9_Inside_Active_Pass_99,6,0.05042016806722689,90,Active Pass,1967,Robinson,1969,no_prey,99,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.86666666666667,-123.3
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_9_Inside_Active_Pass_109,1,0.01818181818181818,93,Active Pass,1967,Robinson,1969,no_prey,109,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.86666666666667,-123.3
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_9_Inside_Active_Pass_115,1,0.009009009009009009,94,Active Pass,1967,Robinson,1969,no_prey,115,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.86666666666667,-123.3
CO,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_10_Entrance_Active_Pass_126,7,0.7,109,off entrance to Active Pass,1967,Robinson,1969,no_prey,126,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Coho salmon,Oncorhynchus kisutch,48.88333333333333,-123.28333333333333
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_11_Belle_Chain_Islets_88,1,0.5,136,off Belle Chain Islets,1967,Robinson,1969,no_prey,88,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.833333333333336,-123.18333333333334
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_11_Belle_Chain_Islets_97,6,1,137,off Belle Chain Islets,1967,Robinson,1969,no_prey,97,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.833333333333336,-123.18333333333334
CU,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_11_Belle_Chain_Islets_104,1,0.5,138,off Belle Chain Islets,1967,Robinson,1969,no_prey,104,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chum salmon,Oncorhynchus keta,48.833333333333336,-123.18333333333334
CO,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_12_Active_Pass_109,5,0.7142857142857143,153,2 miles off Active Pass,1967,Robinson,1969,no_prey,109,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Coho salmon,Oncorhynchus kisutch,48.9,-123.26666666666667
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_12_Active_Pass_91,11,1,154,2 miles off Active Pass,1967,Robinson,1969,no_prey,91,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,48.9,-123.26666666666667
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_12_Active_Pass_81,5,1,155,2 miles off Active Pass,1967,Robinson,1969,no_prey,81,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,48.9,-123.26666666666667
CI,juvenile,HE,Clupea pallasii,Clupea pallasii,Tow_12_Active_Pass_86,1,1,156,2 miles off Active Pass,1967,Robinson,1969,no_prey,86,mm,stomachs,FISH_Robinson_1969.xlsx,/home/atlantis/herringdiet/herring_data_rev/FISH_Robinson_1969.xlsx,Chinook salmon,Oncorhynchus tshawytscha,48.9,-123.26666666666667
