atlantis_pred_group,predator_stage,predator_taxa,year,atlantis_prey_group,taxa_prey,prey,predator_size,proportion,latitude,longitude,author,publication_yr,size_units,sample_source,variable,location
COH,juvenile,coho,2008,HE,herring,herring,449,0,47.3874,-122.5369833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,449,0,47.3874,-122.5369833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,368.875,0,47.41406667,-123.1225833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,368.875,0.018691588785046728,47.41406667,-123.1225833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,784.6666666666666,0,47.43568333,-122.3742667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,784.6666666666666,0,47.43568333,-122.3742667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,799,0,47.4795,-122.5096667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,799,0.004672897196261682,47.4795,-122.5096667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,775.5,0,47.50741667,-122.40325,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,775.5,0.004672897196261682,47.50741667,-122.40325,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,402.5,0,47.52203333,-122.4118833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,402.5,0,47.52203333,-122.4118833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,458.3333333333333,0,47.66896667,-122.4473833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,458.3333333333333,0,47.66896667,-122.4473833,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,345.3333333333333,0,47.68333333,-122.7792167,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,345.3333333333333,0,47.68333333,-122.7792167,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,809.75,0,47.69715,-122.4355,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,809.75,0,47.69715,-122.4355,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,466,0,47.70335,-122.4325667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,466,0,47.70335,-122.4325667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,484,0,47.74726667,-122.4208667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,484,0,47.74726667,-122.4208667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,820.6666666666666,0,47.8343,-122.4340667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,820.6666666666666,0,47.8343,-122.4340667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,327.2,0,47.84433333,-122.6421667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,327.2,0,47.84433333,-122.6421667,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,500.5,0,47.8879,-122.4581167,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,500.5,0,47.8879,-122.4581167,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring,herring,828.25,0,47.89466667,-122.4647167,Ricker,2008,mm,stomachs,per_volume,NA
COH,juvenile,coho,2008,HE,herring.remains,herring.remains,828.25,0,47.89466667,-122.4647167,Ricker,2008,mm,stomachs,per_volume,NA
