FILE,CITA
Salmon_Munsch et al_2015,"Munsch, S. H., Cordell, J. R., & Toft, J. D. (2015). Effects of seawall armoring on juvenile Pacific salmon diets in an urban estuarine embayment. Marine Ecology Progress Series, 535, 213-229."
Salmon_Osgood_et_al_2016,"Osgood, G. J., Kennedy, L. A., Holden, J. J., Hertz, E., McKinnell, S., & Juanes, F. (2016). Historical diets of forage fish and juvenile pacific salmon in the strait of Georgia, 1966 1968. Marine and Coastal Fisheries, 8(1), 580-594."
Salmon_Pearce_et_al_1982,"Pearce, T. A., Meyer, J. H., & Boomer, R. S. (1982). Distribution and food habits of juvenile salmon in the Nisqually estuary, Washington, 1979-1980. US Department of the Interior, Fisheries Assistance Office. US Fish and Wildlife Service."
Salmon_Prakash_1962,"Prakash, A. (1962). Seasonal changes in feeding of coho and chinook (spring) salmon in southern British Columbia waters. Journal of the Fisheries Board of Canada, 19(5), 851-866."
Salmon_Price_et_al_2013,"Price, M. H., Glickman, B. W., & Reynolds, J. D. (2013). Prey selectivity of Fraser River sockeye salmon during early marine migration in British Columbia. Transactions of the American Fisheries Society, 142(4), 1126-1133."
Salmon_Salo_et_al_1980,"Salo, E. O., Bax, N. J., Prinslow, T. E., Whitmus, C. J., Snyder, B. P., & Simenstad, C. A. (1980). The effects of construction of naval facilities on the outmigration of juvenile salmonids from Hood Canal, Washington. Final Report. Fisheries Research Institute, College of Fisheries, University of Washington, Seattle, WA. Prepared for the US Navy, OICC Trident."
Salmon_Schreiner_et_al_1977,"Schreiner, J. U. (1977). Salmonid outmigration studies in Hood Canal, Washington (Doctoral dissertation, University of Washington)."
Salmon_Simenstad_&_Eggers_1981,"Simenstad, C. A., & Eggers, D. M. (1981). Juvenile Salmonid and Baitfish Distribution, Abundance and Prey Resources in Selected Areas of Grays Harbor, Washington (No. FRI-UW-8116). WASHINGTON UNIV SEATTLE FISHERIES RESEARCH INST."
Salmon_Simenstad_&_Kinney_1978,"Simenstad, C. A., & Kinney, W. J. (1978). Trophic relationships of outmigrating chum salmon in Hood Canal, Washington, 1977. University of Washington, Fisheries Research Institute."
Salmon_Sweeting_&_Beamish_2009,"Sweeting, R. M., & Beamish, R. J. (2009). A comparison of the diets of hatchery and wild coho salmon (Oncorhynchus kisutch) in the Strait of Georgia from 1997 2007. North Pacific Anadromous Fish Commission Bulletin, 5, 255-264."
Salmon_Sweeting_et_al_2007,"Sweeting, R., Beamish, R. J., & Cooper, C. A. (2007). Comparison of juvenile salmon diets in the Strait of Georgia and Puget Sound 1997-2006. In:Proceedings of the 2007 Georgia Basin Puget Sound research conference. Puget Sound Action Team, Olympia, Washington."
SB_Baldwin_&_Lovvorn_1994,"Baldwin, J. R., & Lovvorn, J. R. (1994). Expansion of seagrass habitat by the exotic Zostera japonica, and its use by dabbling ducks and brant in Boundary Bay, British Columbia. Marine ecology progress series. Oldendorf, 103(1), 119-127."
SB_Cyra_1982,"Cyra, T. (1982). The relationship between tide height, time of day, and Pigeon Guillemot numbers on Protection Island, Washington (Doctoral dissertation, Washington Game Department)."
SB_Drent_1965,"Drent, R. H. (1965). Breeding biology of the Pigeon Guillemot, Cepphus columba. Brill."
SB_Huang_et_al_2015,"Huang, A. C., Essak, M., & O'connor, M. I. (2015). Top-down control by great blue herons Ardea herodias regulates seagrass associated epifauna. Oikos, 124(11), 1492-1501."
SB_Lance_&_Pearson_2012,"Lance, M. M., & Pearson, S. F. (2012). Assembling and Assessing Seabird Diet Information in the Salish Sea. Washington Department of Fish and Wildlife. Wildlife Research Division, Olympia, Washington."
SB_Lance_&_Thompson_2005,"Lance, M. M., Thompson, C. W., & Burger, A. E. (2005). Overlap in diets and foraging of Common Murres (Uria aalge) and Rhinoceros Auklets (Cerorhinca monocerata) after the breeding season. The Auk, 122(3), 887-901."
SB_Lindborg_et_al_2012,"Lindborg, V. A., Ledbetter, J. F., Walat, J. M., & Moffett, C. (2012). Plastic consumption and diet of Glaucous-winged Gulls (Larus glaucescens). Marine pollution bulletin, 64(11), 2351-2356."
SB_Munro_&_Clemens_1932,"Munro, J. A., & Clemens, W. A. (1936). Food of the American merganser (Mergus merganser americanus) in British Columbia. National Parks of Canada, Department of the Interior."
SB_Robertson_1972,"Predation by fish-eating birds on stocks of the pacific herring, clupea pallasii, in the gulf islands of british columbia"
SB_Robertson_1974,"Robertson, I. (1974). The food of nesting double-crested and pelagic cormorants at Mandarte Island, British Columbia, with notes on feeding ecology. The Condor, 76(3), 346-348."
SB_Schrimpf_et_al_2012,"Schrimpf, M. B., Parrish, J. K., & Pearson, S. F. (2012). Trade-offs in prey quality and quantity revealed through the behavioral compensation of breeding seabirds. Marine Ecology Progress Series, 460, 247-259."
SB_Thompson_et_al_2002,"Thompson, C. W., Donelan, E. R., Lance, M. M., & Edwards, A. E. (2002). Diet of Caspian Terns in Commencement Bay, Washington. Waterbirds, 78-85."
SB_Vermeer_1982,"Vermeer, K. (1982). Comparison of the diet of the glaucous-winged gull on the east and west coasts of Vancouver Island. The Murrelet, 80-85."
